C
WFC
RF
USB
SLM
STI
IVZ
GS
ALL
ETFC
CME
LM
ABT
AET
CELG
JNJ
LIFE
PFE
TMO
IBM
GLW
AEE
SRE
DHR
GE
UTX
HP
NBL
BMS
SEE
VMC
BBBY
CCL
GPC
HOG
MAT
NKE
ROST
SNA
TGT
TWC
DIS
BEAM
