MON
DD
DOW
PX
FCX
LYB
ECL
PPG
IP
APD
MOS
SHW
NUE
NEM
EMN
CF
SIAL
AA
FMC
ARG
VMC
IFF
BLL
MWV
SEE
OI
BMS
ATI
CLF
X
