AA
AAU
AAV
ABX
ACET
ACH
ACI
ACMP
ACO
AE
AEM
AG
AGI
AGU
AHGP
AKG
AKS
ALB
ALJ
AMCF
AMRS
ANR
ANV
APA
APAGF
APC
APD
APFC
APL
AREX
ARG
ARLP
ARSD
ASH
ASM
ATL
ATW
AU
AUMN
AUQ
AUY
AVD
AVL
AWC
AXAS
AXLL
AXU
AXX
AZC
BAA
BAK
BAS
BBEP
BBG
BCPC
BDCO
BHI
BHP
BIOF
BKEP
BOLT
BP
BPL
BPT
BPZ
BRD
BRN
BRY
BTE
BTU
BVN
BWP
BXE
CAK
CAM
CBT
CCJ
CDE
CDY
CE
CENX
CEO
CEP
CERP
CF
CGA
CGG
CGR
CHGS
CHMT
CHNR
CHOP
CIE
CJES
CLB
CLD
CLF
CLMT
CLR
CMC
CMLP
CMP
CNQ
CNX
COG
COP
CPE
CPSL
CQP
CRK
CRR
CRT
CRZO
CVE
CVI
CVX
CWEI
CXO
CXPO
CXZ
CYT
DBLE
DD
DDC
DEJ
DK
DKL
DNN
DNR
DO
DOW
DPM
DRD
DRQ
DVN
DVR
DWSN
E
EC
ECA
ECT
EEP
EEQ
EGI
EGN
EGO
EGY
EMES
EMN
EMXX
ENB
END
EOG
EOX
EPB
EPD
EPL
EPM
EQM
EQU
ERF
EROC
ESTE
ESV
ETE
ETP
EVEP
EXH
EXK
EXLP
EXXI
FANG
FCX
FES
FET
FF
FGP
FMC
FNV
FOE
FPP
FRD
FSI
FSM
FST
FTI
FTK
FUL
FXEN
GBR
GDP
GEL
GEVO
GFI
GG
GGB
GGS
GLF
GMET
GMO
GNE
GNI
GOLD
GORO
GPL
GPOR
GPR
GPRE
GRA
GSE
GSI
GSJK
GSM
GSS
GST
GSV
GTE
GTU
GURE
HAL
HBM
HCLP
HDY
HEP
HERO
HES
HFC
HGT
HK
HL
HLX
HMY
HNR
HNRG
HOS
HP
HUN
HUSA
HWKN
IAG
IFF
IFNY
IIIN
IKNX
IMO
INT
IOC
IOSP
IPHS
IPI
ISRL
IVAN
JAG
JRCC
KALU
KBX
KEG
KGC
KGJI
KIOR
KMG
KMI
KMP
KMR
KOG
KOP
KOS
KRA
KRO
KWK
KWR
LEI
LGCY
LGP
LINE
LIWA
LLEN
LNCO
LNDC
LNG
LODE
LPI
LPR
LRE
LSG
LTBR
LUFK
LXU
LYB
MACE
MBLX
MCEP
MCF
MCP
MDM
MDR
MDU
MDW
MEIL
MEMP
MEOH
MGH
MGN
MHR
MIL
MILL
MMLP
MMP
MNGA
MON
MOS
MPC
MPET
MPLX
MPO
MRO
MT
MTDR
MTL
MTRN
MTX
MUR
MUX
MVG
MVO
MWE
MXC
NAK
NBL
NBR
NCQ
NDRO
NE
NEM
NEU
NFG
NFX
NG
NGD
NGL
NGLS
NGS
NL
NOA
NOG
NOR
NOV
NR
NRGM
NRGY
NRP
NS
NSH
NSLP
NSU
NTI
NUE
NWPX
NXY
OAS
ODC
OII
OILT
OIS
OKS
OLN
OMG
OMN
ORIG
OSN
OXF
OXY
PAA
PAAS
PACD
PAL
PBA
PBF
PBM
PBR
PBR-A
PBT
PDCE
PDH
PDO
PDS
PEIX
PENX
PER
PES
PGH
PGRX
PHX
PKD
PKX
PLG
PLM
PNRG
POL
POT
PPG
PPP
PQ
PSE
PSTR
PSX
PTEN
PTR
PURE
PVA
PVG
PWE
PX
PXD
PZE
PZG
QBC
QEP
QMM
QRE
QRM
RBY
RCON
RDC
RDS-B
RECV
REE
REGI
REN
RES
REX
REXX
RGLD
RGP
RIC
RIG
RIO
RIOM
RNF
RNO
ROC
ROCK
ROSE
ROYL
RPM
RRC
RRMS
RTK
RVM
SA
SAND
SARA
SCCO
SCEI
SCOK
SD
SDLP
SDR
SDRL
SDT
SE
SEMG
SEP
SFY
SGU
SGY
SHI
SHLM
SHW
SIAL
SID
SIM
SJT
SLB
SLCA
SLT
SLW
SM
SMG
SN
SNMX
SNP
SOQ
SPN
SQM
SSL
SSN
SSRI
STLD
STO
SU
SUTR
SVBL
SVLC
SVM
SWC
SWN
SXC
SXL
SXT
SYMX
SYNL
SYNM
SYRG
SYT
SZYM
TAHO
TAM
TAS
TAT
TC
TCK
TCP
TDW
TESO
TGA
TGB
TGC
TGD
TGE
THM
TIE
TLLP
TLM
TLP
TLR
TNH
TORM
TOT
TPLM
TRGP
TROX
TRQ
TRX
TS
TSO
TTI
TX
UAMY
UAN
UEC
UGP
UNT
UPL
URG
URRE
URZ
USAP
USEG
USU
VAL
VALE
VET
VGZ
VHI
VLO
VNR
VOC
VTG
WDFC
WES
WFT
WG
WH
WHX
WHZ
WLB
WLK
WLL
WLT
WMB
WNR
WPX
WPZ
WRES
WTI
X
XCO
XEC
XOM
XPL
XRA
XTEX
XTXI
YPF
YZC
ZAZA
ZINC
ZN
