ACE
AFL
AIG
AIV
AIZ
ALL
AMP
AMT
AON
AVB
AXP
BAC
BBT
BEN
BK
BLK
BRK-B
BXP
C
CB
CBG
CINF
CMA
CME
COF
DFS
EFX
EQR
ETFC
FHN
FITB
GNW
GS
HBAN
HCBK
HCN
HCP
HIG
HST
ICE
IVZ
JPM
KEY
KIM
L
LM
LNC
MA
MAC
MET
MMC
MS
MTB
NDAQ
NTRS
NYX
PBCT
PCL
PFG
PGR
PLD
PNC
PRU
PSA
RF
SCHW
SLM
SPG
STI
STT
TMK
TROW
TRV
UNM
USB
V
VNO
VTR
WFC
WU
WY
XL
ZION
